,year,congress house,congress sen class 1,congress sen class 2,congress sen class 3,electoral,governor,legislature house,legislature sen
Alabama,1980,"4D, 3R",,Howell Heflin (D),Donald W. Stewart (D),Ronald Reagan and George H. W. Bush (R) Y,Fob James (D),"101D, 4R",35D
Alabama,1981,"4D, 3R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,Fob James (D),"101D, 4R",35D
Alabama,1982,"4D, 3R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,Fob James (D),"101D, 4R",35D
Alabama,1983,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"97D, 8R","32D, 3R"
Alabama,1984,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"87D, 18R","29D, 3R, 3I"
Alabama,1985,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"87D, 18R","29D, 3R, 3I"
Alabama,1986,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"87D, 18R","29D, 3R, 3I"
Alabama,1987,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),Ronald Reagan and George H. W. Bush (R) Y,H. Guy Hunt (R)[47],"89D, 16R","30D, 5R"
Alabama,1988,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"89D, 16R","30D, 5R"
Alabama,1989,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"82D, 23R","27D, 8R[48]"
Alabama,1990,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"82D, 23R","27D, 8R[48]"
Alabama,1991,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"82D, 23R","28D, 7R"
Alabama,1992,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,H. Guy Hunt (R)[47],"82D, 23R","28D, 7R"
Alabama,1993,"4D, 3R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,H. Guy Hunt (R)[47],"82D, 23R","27D, 8R"
Alabama,1993,"4D, 3R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,"Jim Folsom, Jr. (D)[45]","82D, 23R","27D, 8R"
Alabama,1994,"4D, 3R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,"Jim Folsom, Jr. (D)[45]","82D, 23R","27D, 8R"
Alabama,1995,"4D, 3R",,Howell Heflin (D),Richard Shelby (R)[50],George H. W. Bush and Dan Quayle (R) N,Fob James (R),"73D, 32R","23D, 12R"
Alabama,1996,"4D, 3R",,Howell Heflin (D),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Fob James (R),"73D, 32R","23D, 12R"
Alabama,1997,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Fob James (R),"71D, 34R[51]","23D, 12R"
Alabama,1998,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Fob James (R),"68D, 37R[53]","21D, 14R[52]"
Alabama,1999,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Don Siegelman (D),"69D, 36R","23D, 12R"
Alabama,2000,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Don Siegelman (D),"69D, 36R","24D, 11R[55]"
Alabama,2001,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Don Siegelman (D),"68D, 37R[56]","24D, 11R[55]"
Alabama,2002,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Don Siegelman (D),"67D, 38R[57]","24D, 11R[55]"
Alabama,2003,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"63D, 42R[58]","25D, 10R"
